,Time,Concentration
0,0,4.0
1,5,3.9083449319005013
2,10,3.816870830953121
3,15,3.7255853340029716
4,20,3.634496547281742
5,25,3.5436130985617638
6,30,3.4529441595077515
7,35,3.362499512732029
8,40,3.2722895964980125
9,45,3.182325556874275
10,50,3.092619337141514
11,55,3.003183700144291
12,60,2.914032354950905
13,65,2.8251800164580345
14,70,2.7366425171494484
15,75,2.6484369039535522
16,80,2.5605815798044205
17,85,2.473096415400505
18,90,2.38600292801857
19,95,2.2993244379758835
20,100,2.2130862697958946
21,105,2.127315975725651
22,110,2.0420435816049576
23,115,1.9573018699884415
24,120,1.8731267005205154
25,125,1.7895573750138283
26,130,1.7066370397806168
27,135,1.624413177371025
28,140,1.542938120663166
29,145,1.4622696414589882
30,150,1.3824716955423355
31,155,1.3036151081323624
32,160,1.225778542459011
33,165,1.1490493789315224
34,170,1.0735248625278473
35,175,0.9993132725358009
36,180,0.9265351518988609
37,185,0.8553246632218361
38,190,0.7858308851718903
39,195,0.718219019472599
40,200,0.6526713371276855
41,205,0.5893876105546951
42,210,0.5285847410559654
43,215,0.4704950824379921
44,220,0.4153629168868065
45,225,0.36343836039304733
46,230,0.31496813148260117
47,235,0.2701825872063637
48,240,0.22927923500537878
49,245,0.19240359216928488
50,250,0.1596296131610871
51,255,0.13094313442707067
52,260,0.10623216629028329
53,265,0.08528755605220803
54,270,0.06781513243913659
55,275,0.05345763266086588
56,280,0.0418223887681962
57,285,0.03250922262668619
58,290,0.025134265422821142
59,295,0.019346863031387426
60,300,0.014839224517345526
