Index,Time,Temperature,DO
0,16:28:15,32,6.89
1,16:28:20,32,6.89
2,16:28:25,32,6.9
3,16:28:30,32,6.9
4,16:28:35,32,6.9
5,16:28:40,32,6.89
6,16:28:45,32,6.89
7,16:28:50,32,6.88
8,16:28:55,32,6.88
9,16:29:00,32,6.89
10,16:29:05,32.1,6.9
11,16:29:10,32.1,6.9
12,16:29:15,32.1,6.89
13,16:29:20,32.1,6.89
14,16:29:25,32.1,6.88
15,16:29:30,32.1,6.88
16,16:29:35,32.1,6.88
17,16:29:40,32.1,6.89
18,16:29:45,32.1,6.89
19,16:29:50,32.1,6.89
20,16:29:55,32.1,6.88
21,16:30:00,32.1,6.89
22,16:30:05,32.1,6.89
23,16:30:10,32.1,6.89
24,16:30:15,32.1,6.88
25,16:30:20,32.1,6.88
26,16:30:25,32.1,6.89
27,16:30:30,32.1,6.9
28,16:30:35,32.1,6.89
29,16:30:40,32.1,6.89
30,16:30:45,32.1,6.89
31,16:30:50,32.1,6.89
32,16:30:55,32.2,6.89
33,16:31:00,32.2,6.9
34,16:31:05,32.2,6.89
35,16:31:10,32.2,6.89
36,16:31:15,32.2,6.88
37,16:31:20,32.1,6.88
38,16:31:25,32.1,6.85
39,16:31:30,32.1,6.78
40,16:31:35,32.1,6.72
41,16:31:40,32.1,6.63
42,16:31:45,32.1,6.53
43,16:31:50,32.1,6.43
44,16:31:55,32.1,6.32
45,16:32:00,32.1,6.22
46,16:32:05,32.1,6.12
47,16:32:10,32.1,6.02
48,16:32:15,32.1,5.91
49,16:32:20,32.1,5.8
50,16:32:25,32.2,5.7
51,16:32:30,32.2,5.6
52,16:32:35,32.2,5.49
53,16:32:40,32.2,5.38
54,16:32:45,32.2,5.27
55,16:32:50,32.2,5.15
56,16:32:55,32.2,5.05
57,16:33:00,32.2,4.94
58,16:33:05,32.2,4.84
59,16:33:10,32.2,4.73
60,16:33:15,32.2,4.63
61,16:33:20,32.2,4.52
62,16:33:25,32.2,4.41
63,16:33:30,32.2,4.3
64,16:33:35,32.2,4.21
65,16:33:40,32.2,4.11
66,16:33:45,32.2,4
67,16:33:50,32.2,3.9
68,16:33:55,32.2,3.8
69,16:34:00,32.2,3.7
70,16:34:05,32.2,3.59
71,16:34:10,32.2,3.49
72,16:34:15,32.2,3.4
73,16:34:20,32.2,3.3
74,16:34:25,32.2,3.2
75,16:34:30,32.2,3.11
76,16:34:35,32.2,3.01
77,16:34:40,32.2,2.91
78,16:34:45,32.2,2.81
79,16:34:50,32.2,2.72
80,16:34:55,32.2,2.63
81,16:35:00,32.2,2.53
82,16:35:05,32.2,2.44
83,16:35:10,32.2,2.35
84,16:35:15,32.2,2.25
85,16:35:20,32.2,2.16
86,16:35:25,32.2,2.06
87,16:35:30,32.2,1.97
88,16:35:35,32.2,1.89
89,16:35:40,32.2,1.79
90,16:35:45,32.2,1.7
91,16:35:50,32.2,1.62
92,16:35:55,32.2,1.54
93,16:36:00,32.2,1.45
94,16:36:05,32.2,1.36
95,16:36:10,32.2,1.27
96,16:36:15,32.2,1.19
97,16:36:20,32.2,1.1
98,16:36:25,32.2,1.02
99,16:36:30,32.2,0.94
100,16:36:35,32.2,0.85
101,16:36:40,32.2,0.77
102,16:36:45,32.2,0.69
103,16:36:50,32.2,0.61
104,16:36:55,32.2,0.54
105,16:37:00,32.2,0.47
106,16:37:05,32.2,0.4
107,16:37:10,32.2,0.34
108,16:37:15,32.2,0.29
109,16:37:20,32.2,0.24
110,16:37:25,32.2,0.2
111,16:37:30,32.2,0.17
112,16:37:35,32.2,0.14
113,16:37:40,32.2,0.12
114,16:37:45,32.2,0.1
115,16:37:50,32.2,0.08
116,16:37:55,32.2,0.07
117,16:38:00,32.2,0.06
118,16:38:05,32.2,0.06
119,16:38:10,32.2,0.05
