Index,Time,Temperature,DO
0,19:30:41,31.9,6.97
1,19:30:46,31.9,6.96
2,19:30:51,31.9,6.96
3,19:30:56,31.9,6.96
4,19:31:01,31.9,6.96
5,19:31:06,31.9,6.97
6,19:31:11,31.9,6.96
7,19:31:16,31.9,6.96
8,19:31:21,31.9,6.96
9,19:31:26,31.9,6.96
10,19:31:31,31.9,6.96
11,19:31:36,31.9,6.95
12,19:31:41,31.9,6.94
13,19:31:46,31.9,6.92
14,19:31:51,31.9,6.91
15,19:31:56,31.9,6.89
16,19:32:01,31.9,6.87
17,19:32:06,31.9,6.85
18,19:32:11,31.9,6.83
19,19:32:16,31.9,6.81
20,19:32:21,31.9,6.8
21,19:32:26,31.9,6.77
22,19:32:31,31.9,6.74
23,19:32:36,31.9,6.72
24,19:32:41,31.9,6.7
25,19:32:46,31.9,6.67
26,19:32:51,31.9,6.66
27,19:32:56,31.9,6.63
28,19:33:01,32,6.61
29,19:33:06,32,6.6
30,19:33:11,32,6.58
31,19:33:16,32,6.55
32,19:33:21,32,6.52
33,19:33:26,32,6.51
34,19:33:31,32,6.5
35,19:33:36,32,6.47
36,19:33:41,32,6.45
37,19:33:46,32,6.43
38,19:33:51,32,6.4
39,19:33:56,32,6.38
40,19:34:01,32,6.37
41,19:34:06,32,6.34
42,19:34:11,32,6.32
43,19:34:16,32,6.3
44,19:34:21,32,6.29
45,19:34:26,32,6.27
46,19:34:31,32,6.24
47,19:34:36,32,6.22
48,19:34:41,32,6.21
49,19:34:46,32,6.19
50,19:34:51,32,6.18
51,19:34:56,32,6.15
52,19:35:01,32,6.12
53,19:35:06,32,6.09
54,19:35:11,32,6.09
55,19:35:16,32.1,6.07
56,19:35:21,32.1,6.05
57,19:35:26,32.1,6.03
58,19:35:31,32.1,6.01
59,19:35:36,32.1,5.99
60,19:35:41,32.1,5.98
61,19:35:46,32.1,5.97
62,19:35:51,32.1,5.94
63,19:35:56,32.1,5.92
64,19:36:01,32.1,5.91
65,19:36:06,32.1,5.88
66,19:36:11,32.1,5.87
67,19:36:16,32.1,5.85
68,19:36:21,32.1,5.83
69,19:36:26,32.1,5.81
70,19:36:31,32.1,5.78
71,19:36:36,32.1,5.78
72,19:36:41,32.1,5.75
73,19:36:46,32.1,5.73
74,19:36:51,32.1,5.72
75,19:36:56,32.1,5.7
76,19:37:01,32.1,5.68
77,19:37:06,32.1,5.66
78,19:37:11,32.1,5.65
79,19:37:16,32.1,5.63
80,19:37:21,32.1,5.6
81,19:37:26,32.1,5.58
82,19:37:31,32.1,5.57
83,19:37:36,32.2,5.55
84,19:37:41,32.2,5.53
85,19:37:46,32.2,5.51
86,19:37:51,32.2,5.5
87,19:37:56,32.2,5.48
88,19:38:01,32.2,5.46
89,19:38:06,32.2,5.44
90,19:38:11,32.2,5.42
91,19:38:16,32.2,5.41
92,19:38:21,32.2,5.39
93,19:38:26,32.2,5.37
94,19:38:31,32.2,5.35
95,19:38:36,32.2,5.33
96,19:38:41,32.2,5.31
97,19:38:46,32.2,5.3
98,19:38:51,32.2,5.29
99,19:38:56,32.2,5.27
100,19:39:01,32.2,5.25
101,19:39:06,32.2,5.23
102,19:39:11,32.2,5.21
103,19:39:16,32.2,5.18
104,19:39:21,32.2,5.18
105,19:39:26,32.2,5.16
106,19:39:31,32.2,5.15
107,19:39:36,32.2,5.12
108,19:39:41,32.2,5.11
109,19:39:46,32.2,5.09
110,19:39:51,32.2,5.08
111,19:39:56,32.2,5.06
112,19:40:01,32.2,5.05
113,19:40:06,32.2,5.02
114,19:40:11,32.3,5.01
115,19:40:16,32.3,5
116,19:40:21,32.3,4.98
117,19:40:26,32.3,4.96
118,19:40:31,32.3,4.94
119,19:40:36,32.3,4.92
120,19:40:41,32.3,4.91
121,19:40:46,32.3,4.89
122,19:40:51,32.3,4.87
123,19:40:56,32.3,4.85
124,19:41:01,32.3,4.84
125,19:41:06,32.3,4.82
126,19:41:11,32.3,4.81
127,19:41:16,32.3,4.79
128,19:41:21,32.3,4.78
129,19:41:26,32.3,4.76
130,19:41:31,32.3,4.75
131,19:41:36,32.3,4.72
132,19:41:41,32.3,4.7
133,19:41:46,32.3,4.69
134,19:41:51,32.3,4.67
135,19:41:56,32.3,4.66
136,19:42:01,32.3,4.64
137,19:42:06,32.3,4.62
138,19:42:11,32.3,4.61
139,19:42:16,32.3,4.59
140,19:42:21,32.3,4.58
141,19:42:26,32.3,4.56
142,19:42:31,32.3,4.55
143,19:42:36,32.3,4.54
144,19:42:41,32.3,4.52
145,19:42:46,32.3,4.5
146,19:42:51,32.3,4.49
147,19:42:56,32.3,4.48
148,19:43:01,32.3,4.46
149,19:43:06,32.3,4.44
150,19:43:11,32.3,4.43
151,19:43:16,32.3,4.41
152,19:43:21,32.3,4.4
153,19:43:26,32.3,4.39
154,19:43:31,32.3,4.38
155,19:43:36,32.3,4.37
156,19:43:41,32.3,4.35
157,19:43:46,32.3,4.34
158,19:43:51,32.3,4.32
159,19:43:56,32.3,4.31
160,19:44:01,32.3,4.3
161,19:44:06,32.3,4.28
162,19:44:11,32.3,4.26
163,19:44:16,32.3,4.25
164,19:44:21,32.3,4.24
165,19:44:26,32.3,4.23
166,19:44:31,32.3,4.22
167,19:44:36,32.3,4.2
168,19:44:41,32.3,4.18
169,19:44:46,32.3,4.18
170,19:44:51,32.3,4.17
171,19:44:56,32.3,4.15
172,19:45:01,32.3,4.14
173,19:45:06,32.3,4.12
174,19:45:11,32.4,4.12
175,19:45:16,32.3,4.1
176,19:45:21,32.4,4.09
177,19:45:26,32.4,4.08
178,19:45:31,32.4,4.06
179,19:45:36,32.4,4.05
180,19:45:41,32.4,4.04
181,19:45:46,32.4,4.03
182,19:45:51,32.4,4.02
183,19:45:56,32.4,4.01
184,19:46:01,32.4,3.99
185,19:46:06,32.4,3.98
186,19:46:11,32.4,3.97
187,19:46:16,32.4,3.96
188,19:46:21,32.4,3.94
189,19:46:26,32.4,3.94
190,19:46:31,32.4,3.91
