Index,Time,Temperature,DO
0,20:47:43,30.7,7.08
1,20:47:47,30.7,7.07
2,20:47:52,30.7,7.07
3,20:47:57,30.7,7.07
4,20:48:02,30.7,7.07
5,20:48:07,30.8,7.07
6,20:48:12,30.8,7.07
7,20:48:17,30.8,7.07
8,20:48:22,30.8,7.06
9,20:48:27,30.8,7.06
10,20:48:32,30.8,7.06
11,20:48:37,30.8,7.06
12,20:48:42,30.8,7.06
13,20:48:47,30.9,7.07
14,20:48:52,30.9,7.07
15,20:48:57,30.9,7.07
16,20:49:02,30.9,7.08
17,20:49:07,30.9,7.08
18,20:49:12,30.9,7.08
19,20:49:17,30.9,7.07
20,20:49:22,31,7.06
21,20:49:27,31,7.06
22,20:49:32,31,7.06
23,20:49:37,31,7.07
24,20:49:42,31,7.07
25,20:49:47,31,7.07
26,20:49:52,31.1,7.07
27,20:49:57,31.1,7.07
28,20:50:02,31.1,7.06
29,20:50:07,31.1,7.06
30,20:50:12,31.1,7.06
31,20:50:17,31.1,7.05
32,20:50:22,31.2,7.05
33,20:50:27,31.2,7.06
34,20:50:32,31.2,7.06
35,20:50:37,31.2,7.06
36,20:50:42,31.2,7.06
37,20:50:47,31.2,7.05
38,20:50:52,31.2,7.04
39,20:50:57,31.3,7.03
40,20:51:02,31.3,7.03
41,20:51:07,31.3,7.02
42,20:51:12,31.3,7
43,20:51:17,31.3,6.99
44,20:51:22,31.3,6.99
45,20:51:27,31.3,6.98
46,20:51:32,31.3,6.97
47,20:51:37,31.3,6.97
48,20:51:42,31.3,6.96
49,20:51:47,31.4,6.95
50,20:51:52,31.4,6.94
51,20:51:57,31.4,6.94
52,20:52:02,31.4,6.93
53,20:52:07,31.4,6.92
54,20:52:12,31.4,6.91
55,20:52:17,31.4,6.91
56,20:52:22,31.4,6.9
57,20:52:27,31.4,6.9
58,20:52:32,31.4,6.89
59,20:52:37,31.5,6.88
60,20:52:42,31.5,6.87
61,20:52:47,31.5,6.86
62,20:52:52,31.5,6.85
63,20:52:57,31.5,6.85
64,20:53:02,31.5,6.84
65,20:53:07,31.5,6.83
66,20:53:12,31.6,6.83
67,20:53:17,31.6,6.82
68,20:53:22,31.6,6.81
69,20:53:27,31.6,6.81
70,20:53:32,31.6,6.8
71,20:53:37,31.6,6.79
72,20:53:42,31.6,6.79
73,20:53:47,31.6,6.79
74,20:53:52,31.7,6.78
75,20:53:57,31.7,6.77
76,20:54:02,31.7,6.76
77,20:54:07,31.7,6.75
78,20:54:12,31.7,6.74
79,20:54:17,31.7,6.74
80,20:54:22,31.7,6.74
81,20:54:27,31.7,6.74
82,20:54:32,31.8,6.74
83,20:54:37,31.8,6.73
84,20:54:42,31.8,6.71
85,20:54:47,31.8,6.71
86,20:54:52,31.8,6.7
87,20:54:57,31.8,6.69
88,20:55:02,31.8,6.69
89,20:55:07,31.8,6.68
90,20:55:12,31.8,6.67
91,20:55:17,31.8,6.66
92,20:55:22,31.8,6.66
93,20:55:27,31.9,6.65
94,20:55:32,31.9,6.65
95,20:55:37,31.9,6.64
96,20:55:42,31.9,6.63
97,20:55:47,31.9,6.62
98,20:55:52,31.9,6.62
99,20:55:57,31.9,6.62
100,20:56:02,31.9,6.61
101,20:56:07,31.9,6.61
102,20:56:12,31.9,6.6
103,20:56:17,31.9,6.59
104,20:56:22,32,6.58
105,20:56:27,32,6.58
106,20:56:32,32,6.57
107,20:56:37,32,6.57
108,20:56:42,32,6.56
109,20:56:47,32,6.56
110,20:56:52,32,6.55
111,20:56:57,32,6.54
112,20:57:02,32,6.53
113,20:57:07,32.1,6.53
114,20:57:12,32.1,6.52
115,20:57:17,32.1,6.52
116,20:57:22,32.1,6.52
117,20:57:27,32.1,6.51
118,20:57:32,32.1,6.5
119,20:57:37,32.1,6.5
120,20:57:42,32.1,6.49
121,20:57:47,32.1,6.5
122,20:57:52,32.1,6.49
123,20:57:57,32.1,6.48
124,20:58:02,32.2,6.47
125,20:58:07,32.2,6.46
126,20:58:12,32.2,6.45
127,20:58:17,32.2,6.45
128,20:58:22,32.2,6.44
129,20:58:27,32.2,6.44
130,20:58:32,32.2,6.44
131,20:58:37,32.2,6.43
132,20:58:42,32.2,6.42
133,20:58:47,32.2,6.42
134,20:58:52,32.2,6.42
135,20:58:57,32.2,6.41
136,20:59:02,32.2,6.39
137,20:59:07,32.3,6.39
138,20:59:12,32.3,6.38
139,20:59:17,32.3,6.38
140,20:59:22,32.3,6.37
141,20:59:27,32.3,6.37
142,20:59:32,32.3,6.37
143,20:59:37,32.3,6.37
144,20:59:42,32.3,6.36
145,20:59:47,32.3,6.36
146,20:59:52,32.3,6.35
147,20:59:57,32.3,6.34
148,21:00:02,32.3,6.34
149,21:00:07,32.3,6.33
150,21:00:12,32.3,6.33
151,21:00:17,32.3,6.33
152,21:00:22,32.3,6.32
153,21:00:27,32.3,6.31
154,21:00:32,32.4,6.31
155,21:00:37,32.4,6.31
156,21:00:42,32.4,6.3
157,21:00:47,32.4,6.29
158,21:00:52,32.4,6.29
159,21:00:57,32.4,6.28
160,21:01:02,32.4,6.27
161,21:01:07,32.4,6.27
162,21:01:12,32.4,6.26
163,21:01:17,32.4,6.25
164,21:01:22,32.4,6.25
165,21:01:27,32.4,6.25
166,21:01:32,32.4,6.24
167,21:01:37,32.4,6.23
168,21:01:42,32.5,6.22
169,21:01:47,32.5,6.22
170,21:01:52,32.5,6.22
171,21:01:57,32.5,6.21
172,21:02:02,32.5,6.21
173,21:02:07,32.5,6.2
174,21:02:12,32.5,6.2
175,21:02:17,32.5,6.19
176,21:02:22,32.5,6.18
177,21:02:27,32.5,6.18
178,21:02:32,32.5,6.18
179,21:02:37,32.5,6.18
180,21:02:42,32.5,6.17
181,21:02:47,32.5,6.16
182,21:02:52,32.5,6.16
183,21:02:57,32.5,6.15
184,21:03:02,32.5,6.15
185,21:03:07,32.5,6.14
186,21:03:12,32.5,6.14
187,21:03:17,32.5,6.14
188,21:03:22,32.6,6.14
189,21:03:27,32.6,6.12
190,21:03:32,32.6,6.12
191,21:03:37,32.6,6.11
192,21:03:42,32.6,6.11
193,21:03:47,32.6,6.1
194,21:03:52,32.6,6.1
195,21:03:57,32.6,6.1
196,21:04:02,32.6,6.09
197,21:04:07,32.6,6.08
198,21:04:12,32.6,6.08
199,21:04:17,32.6,6.08
200,21:04:22,32.6,6.07
201,21:04:27,32.6,6.07
202,21:04:32,32.6,6.06
203,21:04:37,32.6,6.06
204,21:04:42,32.6,6.05
205,21:04:47,32.6,6.05
206,21:04:52,32.6,6.04
207,21:04:57,32.7,6.04
208,21:05:02,32.7,6.03
209,21:05:07,32.7,6.03
210,21:05:12,32.7,6.03
211,21:05:17,32.7,6.03
212,21:05:22,32.7,6.02
213,21:05:27,32.7,6.02
214,21:05:32,32.7,6.02
215,21:05:37,32.7,6.01
216,21:05:42,32.7,6
217,21:05:47,32.7,5.99
218,21:05:52,32.7,5.99
219,21:05:57,32.7,5.99
220,21:06:02,32.7,5.98
221,21:06:07,32.7,5.98
222,21:06:12,32.7,5.97
223,21:06:17,32.7,5.96
224,21:06:22,32.7,5.96
225,21:06:27,32.7,5.96
226,21:06:32,32.7,5.95
227,21:06:37,32.7,5.95
228,21:06:42,32.7,5.94
229,21:06:47,32.8,5.93
230,21:06:52,32.8,5.93
231,21:06:57,32.8,5.93
232,21:07:02,32.8,5.93
233,21:07:07,32.8,5.92
234,21:07:12,32.8,5.92
235,21:07:17,32.8,5.91
236,21:07:22,32.8,5.89
237,21:07:27,32.8,5.89
238,21:07:32,32.8,5.89
239,21:07:37,32.8,5.89
240,21:07:42,32.8,5.89
241,21:07:47,32.8,5.89
242,21:07:52,32.8,5.89
243,21:07:57,32.8,5.88
244,21:08:02,32.8,5.87
245,21:08:07,32.8,5.86
246,21:08:12,32.8,5.86
247,21:08:17,32.8,5.85
248,21:08:22,32.8,5.85
249,21:08:27,32.8,5.85
250,21:08:32,32.8,5.85
251,21:08:37,32.8,5.84
252,21:08:42,32.8,5.84
253,21:08:47,32.8,5.84
254,21:08:52,32.8,5.83
255,21:08:57,32.8,5.82
256,21:09:02,32.8,5.82
257,21:09:07,32.8,5.81
258,21:09:12,32.8,5.81
259,21:09:17,32.8,5.8
260,21:09:22,32.8,5.8
261,21:09:27,32.9,5.8
262,21:09:32,32.9,5.79
263,21:09:37,32.9,5.78
264,21:09:42,32.9,5.78
265,21:09:47,32.9,5.78
266,21:09:52,32.9,5.78
267,21:09:57,32.9,5.77
268,21:10:02,32.9,5.77
269,21:10:07,32.9,5.77
270,21:10:12,32.9,5.76
271,21:10:17,32.9,5.75
272,21:10:22,32.9,5.75
273,21:10:27,32.9,5.74
274,21:10:32,32.9,5.74
275,21:10:37,32.9,5.74
276,21:10:42,32.9,5.73
277,21:10:47,32.9,5.73
278,21:10:52,32.9,5.72
279,21:10:57,32.9,5.72
280,21:11:02,32.9,5.72
281,21:11:07,32.9,5.72
282,21:11:12,32.9,5.72
283,21:11:17,32.9,5.71
284,21:11:22,32.9,5.71
285,21:11:27,32.9,5.7
286,21:11:32,32.9,5.7
287,21:11:37,32.9,5.69
288,21:11:42,32.9,5.68
289,21:11:47,32.9,5.68
290,21:11:52,32.9,5.67
291,21:11:57,32.9,5.67
292,21:12:02,32.9,5.68
293,21:12:07,32.9,5.67
294,21:12:12,32.9,5.66
295,21:12:17,32.9,5.66
296,21:12:22,32.9,5.65
297,21:12:27,32.9,5.65
298,21:12:32,32.9,5.65
299,21:12:37,32.9,5.65
300,21:12:42,32.9,5.65
301,21:12:47,32.9,5.64
302,21:12:52,32.9,5.63
303,21:12:57,33,5.62
304,21:13:02,33,5.62
305,21:13:07,33,5.62
306,21:13:12,33,5.62
307,21:13:17,33,5.62
308,21:13:22,33,5.61
309,21:13:27,33,5.61
310,21:13:32,33,5.6
311,21:13:37,33,5.6
312,21:13:42,33,5.59
313,21:13:47,33,5.59
314,21:13:52,33,5.59
315,21:13:57,33,5.59
316,21:14:02,33,5.58
317,21:14:07,33,5.58
318,21:14:12,33,5.57
319,21:14:17,33,5.56
320,21:14:22,33,5.56
321,21:14:27,33,5.55
322,21:14:32,33,5.55
323,21:14:37,33,5.56
324,21:14:42,33,5.55
325,21:14:47,33,5.55
326,21:14:52,33,5.54
327,21:14:57,33,5.54
328,21:15:02,33,5.53
329,21:15:07,33,5.53
330,21:15:12,33,5.53
331,21:15:17,33,5.54
332,21:15:22,33,5.53
333,21:15:27,33,5.51
334,21:15:32,33,5.51
335,21:15:37,33,5.5
336,21:15:42,33,5.5
337,21:15:47,33,5.5
338,21:15:52,33,5.5
339,21:15:57,33,5.49
340,21:16:02,33,5.49
341,21:16:07,33,5.49
342,21:16:12,33.1,5.49
343,21:16:17,33.1,5.49
344,21:16:22,33,5.48
345,21:16:27,33,5.46
346,21:16:32,33,5.46
347,21:16:37,33,5.46
348,21:16:42,33,5.47
349,21:16:47,33,5.47
350,21:16:52,33,5.46
351,21:16:57,33,5.45
352,21:17:02,33,5.44
353,21:17:07,33,5.45
354,21:17:12,33,5.45
355,21:17:17,33,5.44
356,21:17:22,33,5.44
357,21:17:27,33,5.44
358,21:17:32,33,5.44
359,21:17:37,33,5.43
360,21:17:42,33,5.42
361,21:17:47,33,5.42
362,21:17:52,33,5.42
363,21:17:57,33,5.42
364,21:18:02,33,5.41
365,21:18:07,33,5.4
366,21:18:12,33,5.4
367,21:18:17,33,5.39
368,21:18:22,33,5.39
369,21:18:27,33,5.4
370,21:18:32,33,5.4
371,21:18:37,33,5.39
372,21:18:42,33,5.38
373,21:18:47,33,5.38
374,21:18:52,33,5.38
375,21:18:57,33,5.38
376,21:19:02,33,5.37
377,21:19:07,33,5.37
378,21:19:12,33,5.37
379,21:19:17,33,5.36
380,21:19:22,33,5.35
381,21:19:27,33,5.35
