Index,Time,Temperature,DO
0,16:07:31,31.8,6.85
1,16:07:35,31.8,6.85
2,16:07:40,31.8,6.85
3,16:07:45,31.8,6.85
4,16:07:50,31.8,6.85
5,16:07:55,31.8,6.85
6,16:08:00,31.8,6.85
7,16:08:05,31.8,6.85
8,16:08:10,31.8,6.86
9,16:08:15,31.8,6.86
10,16:08:20,31.8,6.87
11,16:08:25,31.8,6.88
12,16:08:30,31.8,6.88
13,16:08:35,31.8,6.88
14,16:08:40,31.8,6.88
15,16:08:45,31.9,6.88
16,16:08:50,31.9,6.88
17,16:08:55,31.9,6.88
18,16:09:00,31.9,6.88
19,16:09:05,31.9,6.88
20,16:09:10,31.9,6.88
21,16:09:15,31.9,6.88
22,16:09:20,31.9,6.88
23,16:09:25,31.9,6.88
24,16:09:30,31.9,6.88
25,16:09:35,31.9,6.9
26,16:09:40,31.9,6.9
27,16:09:45,31.9,6.89
28,16:09:50,31.9,6.89
29,16:09:55,31.9,6.89
30,16:10:00,31.9,6.9
31,16:10:05,31.9,6.9
32,16:10:10,31.9,6.89
33,16:10:15,31.9,6.88
34,16:10:20,31.9,6.88
35,16:10:25,31.9,6.89
36,16:10:30,31.9,6.89
37,16:10:35,31.9,6.89
38,16:10:40,31.9,6.87
39,16:10:45,31.9,6.85
40,16:10:50,31.9,6.84
41,16:10:55,31.9,6.82
42,16:11:00,31.9,6.81
43,16:11:05,31.8,6.79
44,16:11:10,31.8,6.76
45,16:11:15,31.7,6.75
46,16:11:20,31.7,6.73
47,16:11:25,31.7,6.72
48,16:11:30,31.7,6.69
49,16:11:35,31.7,6.67
50,16:11:40,31.7,6.66
51,16:11:45,31.6,6.63
52,16:11:50,31.6,6.62
53,16:11:55,31.6,6.6
54,16:12:00,31.6,6.58
55,16:12:05,31.6,6.57
56,16:12:10,31.6,6.56
57,16:12:15,31.6,6.55
58,16:12:20,31.6,6.53
59,16:12:25,31.6,6.51
60,16:12:30,31.6,6.49
61,16:12:35,31.6,6.47
62,16:12:40,31.6,6.45
63,16:12:45,31.6,6.44
64,16:12:50,31.6,6.43
65,16:12:55,31.6,6.41
66,16:13:00,31.6,6.39
67,16:13:05,31.6,6.37
68,16:13:10,31.6,6.36
69,16:13:15,31.6,6.35
70,16:13:20,31.6,6.33
71,16:13:25,31.6,6.31
72,16:13:30,31.6,6.28
73,16:13:35,31.6,6.27
74,16:13:40,31.6,6.25
75,16:13:45,31.6,6.24
76,16:13:50,31.6,6.22
77,16:13:55,31.6,6.21
78,16:14:00,31.6,6.18
79,16:14:05,31.6,6.16
80,16:14:10,31.6,6.15
81,16:14:15,31.6,6.13
82,16:14:20,31.6,6.11
83,16:14:25,31.6,6.09
84,16:14:30,31.6,6.08
85,16:14:35,31.6,6.06
86,16:14:40,31.6,6.04
87,16:14:45,31.6,6.03
88,16:14:50,31.6,6.01
89,16:14:55,31.6,5.99
90,16:15:00,31.6,5.97
91,16:15:05,31.6,5.96
92,16:15:10,31.6,5.94
93,16:15:15,31.6,5.93
94,16:15:20,31.6,5.91
