type,assay_target,assay_id,VSS
Nitrogen_Substance,AOB,AOB1,0.734 
Nitrogen_Substance,AOB,AOB2,0.684 
Nitrogen_Substance,AOB,AOB3,0.776 
Nitrogen_Substance,NOB,NOB1,0.946 
Nitrogen_Substance,NOB,NOB2,0.972 
Nitrogen_Substance,NOB,NOB3,0.993 
Nitrogen_Substance,ANAMMOX,ANAMMOX1,0.531 
Nitrogen_Substance,ANAMMOX,ANAMMOX2,0.463 
Nitrogen_Substance,ANAMMOX,ANAMMOX3,0.492 
Nitrogen_Substance,Denitrification_NO2,De_nitrite1,0.489 
Nitrogen_Substance,Denitrification_NO2,De_nitrite2,0.480 
Nitrogen_Substance,Denitrification_NO2,De_nitrite3,0.498 
Nitrogen_Substance,Denitrification_NO3,De_nitrate1,0.504 
Nitrogen_Substance,Denitrification_NO3,De_nitrate2,0.491 
Nitrogen_Substance,Denitrification_NO3,De_nitrate3,0.514 
SOUR,AOB,AOB1,0.828 
SOUR,AOB,AOB2,0.916 
SOUR,AOB,AOB3,0.899 
SOUR,NOB,NOB1,0.818 
SOUR,NOB,NOB2,0.911 
SOUR,NOB,NOB3,0.864 
SOUR,CAO,CAO1,0.816 
SOUR,CAO,CAO2,0.824 
SOUR,CAO,CAO3,0.755 
SOUR,NAN,NAN1,0.867 
SOUR,NAN,NAN2,0.719 
SOUR,NAN,NAN3,0.714 
Composite_Processes,ANAMMOX&Denitrification_NO2,A&De_nitrite1,0.799 
Composite_Processes,ANAMMOX&Denitrification_NO2,A&De_nitrite2,0.809 
Composite_Processes,ANAMMOX&Denitrification_NO2,A&De_nitrite3,0.839 
Composite_Processes,Anammox&nitrate_respiration,A&nitrate_respiration1,1.252 
Composite_Processes,Anammox&nitrate_respiration,A&nitrate_respiration2,1.221 
Composite_Processes,Anammox&nitrate_respiration,A&nitrate_respiration3,1.154 
